"player","team","position","height","weight","age","experience","salary","points3","points2","points1","total_rebounds","assists","blocks","turnovers"
"Jordan Poole","GSW","SG",76,194,22,2,2161440,211,263,246,260,304,23,187
"Juan Toscano-Anderson","GSW","SF",78,209,28,2,1701593,28,87,40,176,127,17,68
"Kevon Looney","GSW","C",81,222,25,6,5178572,0,208,75,596,165,52,67
"Klay Thompson","GSW","SG",78,215,31,8,37980720,114,132,46,125,88,17,43
"Moses Moody","GSW","SG",78,205,19,0,3562080,40,40,28,80,23,10,13
"Nemanja Bjelica","GSW","C",82,234,33,6,2089448,54,106,59,294,159,26,87
"Quinndary Weatherspoon","GSW","SG",75,205,25,2,95930,1,11,5,14,5,1,3
"Stephen Curry","GSW","PG",74,185,33,12,45780966,285,250,275,335,404,23,206
"Boban MarjanoviÄ","DAL","C",87,290,33,6,3500000,1,41,13,39,3,3,15
"Brandon Knight","DAL","PG",74,182,30,8,276038,4,6,8,8,8,0,4
"Carlik Jones","DAL","PG",73,185,24,0,53176,0,0,2,3,5,0,3
"DÄvis BertÄns","DAL","PF",82,225,29,5,1.6e+07,31,8,8,56,15,6,5
"Dorian Finney-Smith","DAL","PF",79,220,28,5,4e+06,172,154,56,375,150,39,80
"Dwight Powell","DAL","C",82,240,30,7,11080125,13,256,166,404,97,39,64
"Eugene Omoruyi","DAL","SF",79,244,24,0,0,1,1,2,7,2,0,0
"Frank Ntilikina","DAL","SG",76,200,23,4,1789256,38,51,24,79,69,7,31
"George King","DAL","SF",78,225,28,1,85578,0,0,1,5,0,0,1
"Jalen Brunson","DAL","SG",73,190,25,3,1802057,94,412,179,309,377,3,124
"JaQuori McLaughlin","DAL","PG",76,190,24,0,0,0,0,0,0,2,0,0
"Josh Green","DAL","SG",77,200,21,1,2957520,28,102,31,161,79,14,44
"Luka DonÄiÄ","DAL","PG",79,230,22,3,10174391,201,440,364,593,568,36,292
"Marquese Chriss","DAL","PF",81,240,24,5,1292900,8,54,22,103,17,12,17
"Maxi Kleber","DAL","PF",82,240,30,4,8750000,83,58,46,350,68,58,47
"Moses Wright","DAL","PF",81,233,23,0,0,0,1,3,3,1,1,0
"Reggie Bullock","DAL","SF",78,205,30,8,9536000,141,60,40,241,83,14,40
"Spencer Dinwiddie","DAL","PG",77,215,28,7,17142857,42,79,79,72,90,6,31
"Sterling Brown","DAL","SG",77,219,26,4,3e+06,28,31,14,149,34,7,23
"Theo Pinson","DAL","SF",77,212,26,3,197076,10,4,10,21,17,2,5
"Trey Burke","DAL","PG",72,185,29,8,3150000,26,58,20,33,57,0,26
"Bojan BogdanoviÄ","UTA","PF",79,226,32,7,18502000,181,241,223,296,120,1,118
"Denzel Valentine","UTA","SG",76,220,28,4,111457,1,1,0,4,0,0,2
"Donovan Mitchell","UTA","SG",73,215,25,4,28103500,232,385,267,282,358,12,200
"Eric Paschall","UTA","PF",78,255,25,2,1782621,40,74,66,106,36,5,27
"Hassan Whiteside","UTA","C",84,265,32,9,2401537,0,215,104,494,26,103,53
"Jared Butler","UTA","SG",75,195,21,0,925258,28,33,11,45,63,8,33
"Jordan Clarkson","UTA","SG",76,194,29,7,12420000,190,276,144,273,194,16,129
"Juancho HernangÃ³mez","UTA","PF",81,214,26,5,6175440,21,16,10,60,14,7,8
"Mike Conley","UTA","PG",73,175,34,14,2.1e+07,169,175,129,217,385,21,123
"Nickeil Alexander-Walker","UTA","SG",78,205,23,2,3261480,10,6,11,23,17,4,8
"Norvel Pelle","UTA","C",82,231,28,2,95930,0,3,0,6,0,1,2
"Royce O'Neale","UTA","SF",76,226,28,4,8800000,119,84,45,368,191,32,79
"Rudy Gay","UTA","PF",80,250,35,15,5890000,70,87,62,242,56,19,47
"Rudy Gobert","UTA","C",85,258,29,8,35344828,0,362,303,968,72,137,119
"Trent Forrest","UTA","PG",76,210,23,1,8558,5,71,38,99,106,6,48
"Udoka Azubuike","UTA","C",82,280,22,1,2075880,0,37,6,71,0,11,12
"Zylan Cheatham","UTA","SF",77,220,26,1,89057,0,0,0,0,0,0,0
"Aaron Gordon","DEN","PF",80,235,26,7,16409091,87,347,171,439,188,44,133
"Austin Rivers","DEN","SG",76,200,29,9,2401537,79,67,32,114,90,6,54
"Bones Hyland","DEN","SG",75,173,21,0,2096880,131,99,107,188,191,20,86
"Bryn Forbes","DEN","SG",74,205,28,5,4500000,59,44,35,30,34,2,23
"Davon Reed","DEN","SG",77,208,26,2,286164,37,44,10,108,53,9,16
"Facundo Campazzo","DEN","PG",70,195,30,1,2975000,58,49,60,117,220,23,67
"JaMychal Green","DEN","PF",80,227,31,7,8200000,33,126,81,281,59,26,57
"Jeff Green","DEN","PF",80,235,35,13,4500000,53,224,165,231,96,27,71
"Markus Howard","DEN","SG",70,175,22,1,0,28,11,20,12,7,0,7
"Monte Morris","DEN","PG",74,183,26,4,8849071,124,250,73,226,333,14,78
"Nikola JokiÄ","DEN","C",83,284,26,6,30510423,97,667,379,1019,584,63,281
"Petr Cornelie","DEN","PF",83,220,26,0,0,1,4,3,14,3,1,4
"Vlatko ÄanÄar","DEN","PF",80,236,24,2,1782621,7,16,9,31,17,3,9
"Will Barton","DEN","SG",78,181,31,9,15625000,157,235,102,340,276,31,127
"Zeke Nnaji","DEN","PF",81,240,21,1,2498760,37,59,41,147,17,13,23
"Anthony Edwards","MIN","SG",76,225,20,1,10245480,215,334,220,343,275,46,190
"D'Angelo Russell","MIN","PG",76,193,25,6,30013500,176,225,198,216,460,22,165
"Jaden McDaniels","MIN","PF",81,185,21,1,2063280,80,175,57,293,79,54,75
"Jake Layman","MIN","SF",80,209,27,5,3940184,8,22,13,36,9,5,10
"Jarred Vanderbilt","MIN","PF",81,214,22,3,4e+06,2,210,86,624,94,46,73
"Jaylen Nowell","MIN","SG",76,201,22,2,1782621,63,133,72,123,130,10,36
"Jordan McLaughlin","MIN","PG",71,185,25,2,2e+06,27,61,30,94,180,10,38
"Josh Okogie","MIN","SG",76,213,23,3,4087904,14,28,35,70,25,12,23
"Karl-Anthony Towns","MIN","C",83,248,26,6,31650600,150,492,384,727,269,83,226
"Leandro Bolmaro","MIN","SF",78,200,21,0,2353320,5,12,11,43,21,0,13
"Malik Beasley","MIN","SG",76,187,25,5,14391964,240,92,49,227,116,12,43
"Nathan Knight","MIN","PF",82,253,24,1,0,4,41,44,85,22,8,18
"Naz Reid","MIN","C",81,264,22,2,1782621,57,176,114,301,71,71,82
"Patrick Beverley","MIN","PG",73,180,33,9,14320988,83,94,96,240,268,52,73
"Taurean Prince","MIN","PF",79,218,27,5,1.3e+07,86,91,62,174,68,23,53
"Amir Coffey","LAC","SG",79,210,24,2,153488,96,115,101,197,124,15,45
"Isaiah Hartenstein","LAC","C",84,250,23,3,1729217,14,215,91,332,160,77,84
"Ivica Zubac","LAC","C",84,240,24,5,7518518,0,310,165,644,120,77,114
"Jay Scrubb","LAC","SG",77,220,21,1,0,6,12,7,16,8,3,7
"Luke Kennard","LAC","SG",77,206,25,4,12727273,190,97,69,229,146,6,60
"Marcus Morris","LAC","PF",80,218,32,10,15627907,101,199,129,239,113,18,69
"Nicolas Batum","LAC","PF",80,230,33,13,3170029,108,71,25,254,100,42,40
"Norman Powell","LAC","SG",75,215,28,6,15517242,13,19,30,14,14,4,7
"Paul George","LAC","PF",80,220,31,11,39344970,91,177,127,213,176,13,126
"Reggie Jackson","LAC","SG",74,208,31,10,10384500,167,312,138,271,359,15,173
"Robert Covington","LAC","PF",79,209,31,8,12975471,49,32,28,117,24,28,17
"Rodney Hood","LAC","SF",80,208,29,7,2239544,6,6,4,10,8,2,4
"Semi Ojeleye","LAC","PF",78,240,27,4,1789256,4,8,13,16,4,1,4
"Terance Mann","LAC","SF",77,215,25,2,1782621,76,258,128,425,209,21,84
"Xavier Moon","LAC","SG",74,165,27,0,159528,5,20,3,14,24,3,6
"Brandon Ingram","NOP","SF",80,190,24,5,29467800,74,379,266,320,307,26,151
"CJ McCollum","NOP","SG",75,190,30,8,30864198,71,175,68,116,152,1,57
"Devonte' Graham","NOP","PG",73,195,26,3,1.1e+07,192,104,118,177,316,12,105
"Garrett Temple","NOP","SG",77,195,35,11,4910000,59,52,28,143,74,23,42
"Gary Clark","NOP","PF",78,225,27,3,377645,28,5,7,90,18,7,10
"Herbert Jones","NOP","PF",80,210,23,0,1700000,57,217,137,296,167,60,100
"Jared Harper","NOP","PG",70,175,24,2,95930,5,9,4,2,14,1,2
"Jaxson Hayes","NOP","C",83,220,21,2,5348280,20,225,144,315,43,55,54
"Jonas ValanÄiÅ«nas","NOP","C",83,265,29,9,1.4e+07,57,453,237,843,190,60,179
"Jose Alvarado","NOP","PG",72,179,23,0,1500000,32,99,36,100,152,7,40
"Naji Marshall","NOP","SF",79,220,24,1,1517981,21,88,74,142,62,8,46
"Tony Snell","NOP","SG",78,213,30,8,2389641,21,12,1,31,8,2,8
"Tyrone Wallace","NOP","SG",77,198,27,3,191860,2,5,1,8,1,1,2
"Willy HernangÃ³mez","NOP","C",83,250,27,5,2327220,4,166,109,338,63,19,51
"Anthony Lamb","SAS","SF",78,227,24,1,85578,0,0,0,1,2,0,0
"Dejounte Murray","SAS","PG",76,180,25,4,15428880,96,477,196,563,627,23,180
"Devin Vassell","SAS","SF",77,200,21,1,4235160,137,189,83,306,136,41,58
"Devontae Cacok","SAS","PF",79,240,25,2,364533,0,21,4,42,6,7,3
"Doug McDermott","SAS","PF",79,225,30,7,13750000,108,107,40,115,64,6,43
"Jakob Poeltl","SAS","C",85,245,26,5,8750000,1,409,94,634,189,118,109
"Jaylen Morris","SAS","SG",77,185,26,2,95930,0,0,2,2,2,0,1
"Jock Landale","SAS","C",83,256,26,0,925258,29,72,34,138,45,14,31
"Joe Wieskamp","SAS","SG",78,212,22,0,202068,14,6,7,14,9,3,2
"Josh Richardson","SAS","SG",77,200,28,6,11615328,40,42,35,60,49,6,27
"Joshua Primo","SAS","SF",78,190,19,0,3946800,42,59,44,113,81,23,57
"Keita Bates-Diop","SAS","SF",80,229,26,3,1729217,17,119,46,231,41,14,45
"Keldon Johnson","SAS","SF",77,220,22,2,2145720,159,312,177,457,158,14,92
"Romeo Langford","SAS","SG",76,216,22,2,3804360,0,4,3,4,2,0,0
"Tre Jones","SAS","PG",73,185,22,1,1517981,10,156,71,155,233,7,46
"Zach Collins","SAS","C",83,250,24,3,7e+06,14,62,52,153,61,23,45
"Anthony Davis","LAL","C",82,253,28,9,35361360,13,357,174,394,122,90,82
"Austin Reaves","LAL","SG",77,206,23,0,925258,53,93,99,193,110,20,40
"Avery Bradley","LAL","SG",75,180,31,11,2641691,82,66,16,136,47,9,38
"Carmelo Anthony","LAL","PF",79,238,37,18,2641691,149,170,132,288,68,52,59
"D.J. Augustin","LAL","PG",71,183,34,13,622467,29,10,5,27,33,1,11
"Darren Collison","LAL","PG",72,175,34,10,151821,0,2,0,4,2,0,1
"Dwight Howard","LAL","C",82,265,36,17,2641691,8,126,96,356,35,36,47
"Jay Huff","LAL","C",85,240,23,0,0,0,0,0,4,1,1,1
"Jemerrio Jones","LAL","SF",77,174,26,1,85578,0,2,0,3,0,0,0
"Kent Bazemore","LAL","SF",76,195,32,9,2401537,29,16,13,69,34,9,21
"LeBron James","LAL","C",81,250,37,18,41180544,161,479,254,459,349,59,196
"Malik Monk","LAL","SG",75,200,23,4,1789256,173,218,93,256,218,29,122
"Mason Jones","LAL","SG",76,200,23,1,0,1,6,12,10,4,0,1
"Russell Westbrook","LAL","PG",75,200,33,13,44211146,79,469,266,580,550,20,295
"Sekou Doumbouya","LAL","PF",80,230,21,2,0,1,4,3,6,0,2,2
"Stanley Johnson","LAL","PF",78,242,25,6,1248865,33,84,53,155,80,14,35
"Talen Horton-Tucker","LAL","SG",76,234,21,2,9500000,49,175,100,193,159,29,82
"Trevor Ariza","LAL","SF",80,215,36,17,2641691,20,13,10,82,27,6,11
"Wayne Ellington","LAL","SG",76,207,34,12,2641691,82,16,9,77,30,5,19
"Ade Murkey","SAC","SG",77,200,24,0,53176,0,0,0,0,0,0,0
"Alex Len","SAC","C",84,250,28,8,3732000,6,88,41,161,45,25,43
"Chimezie Metu","SAC","C",81,225,24,3,1762796,57,146,71,335,60,32,61
"Damian Jones","SAC","C",83,245,26,5,1977011,10,165,94,246,69,47,59
"Davion Mitchell","SAC","PG",74,205,23,0,4603200,101,251,56,166,313,24,114
"De'Aaron Fox","SAC","PG",75,185,24,4,28103500,74,442,261,231,330,25,168
"Domantas Sabonis","SAC","PF",83,240,25,5,18500000,4,108,55,185,87,5,52
"Donte DiVincenzo","SAC","SG",76,203,25,3,4675830,53,26,47,110,89,5,44
"Emmanuel Mudiay","SAC","PG",75,200,25,5,111457,0,0,3,0,4,0,1
"Harrison Barnes","SAC","PF",80,225,29,9,20284091,142,249,341,432,186,14,118
"Jahmi'us Ramsey","SAC","SG",75,190,20,1,1517981,5,19,7,13,7,1,5
"Jeremy Lamb","SAC","SG",77,180,29,9,10500000,16,32,22,60,30,8,13
"Josh Jackson","SAC","SF",80,207,24,4,5005350,3,14,15,18,5,4,9
"Justin Holiday","SAC","SG",78,180,32,8,6006420,50,21,16,55,38,15,21
"Louis King","SAC","SF",79,205,22,2,0,8,7,7,12,9,1,0
"Maurice Harkless","SAC","SF",79,220,28,9,4347600,31,52,20,112,23,24,31
"Neemias Queta","SAC","C",84,245,22,0,0,0,17,11,31,6,8,6
"Richaun Holmes","SAC","C",82,235,28,6,10384500,2,196,70,317,48,41,56
"Terence Davis","SAC","SG",76,201,24,2,4e+06,49,64,36,94,40,11,33
"Trey Lyles","SAC","PF",81,234,26,6,2500000,23,64,57,135,30,6,19
"Anfernee Simons","POR","SG",75,181,22,3,3938818,179,174,103,151,221,6,115
"Ben McLemore","POR","SG",75,195,28,8,2389641,151,65,72,103,59,10,55
"Brandon Williams","POR","PG",74,190,22,0,53176,31,74,68,74,94,10,58
"Cameron McGriff","POR","SF",79,230,24,0,53176,2,3,2,15,3,1,0
"CJ Elleby","POR","SF",78,200,21,1,1517981,37,84,60,227,87,19,56
"Cody Zeller","POR","C",83,240,29,8,2389641,0,51,38,125,22,6,19
"Damian Lillard","POR","PG",74,195,31,9,39344900,92,130,159,120,212,11,83
"Drew Eubanks","POR","C",81,245,24,3,477024,4,133,40,186,35,10,35
"Elijah Hughes","POR","SG",77,215,23,1,1517981,15,17,4,41,16,7,10
"Jarron Cumberland","POR","SG",77,205,24,0,53176,0,1,0,3,1,0,0
"Josh Hart","POR","SG",77,215,26,4,1.2e+07,31,61,44,70,56,2,33
"Justise Winslow","POR","PF",78,222,25,6,3902439,10,37,14,69,32,7,12
"Jusuf NurkiÄ","POR","C",83,290,27,7,1.2e+07,15,306,185,619,157,34,143
"Keljin Blevins","POR","SF",76,200,26,1,0,21,13,6,45,19,1,17
"Keon Johnson","POR","SG",77,186,19,0,2553240,31,48,25,60,63,10,39
"Kris Dunn","POR","PG",75,205,27,5,312079,1,43,17,49,79,3,32
"Nassir Little","POR","SF",77,220,21,2,2316240,51,94,69,236,54,36,40
"Trendon Watford","POR","SF",81,240,21,0,436482,9,133,71,199,81,28,44
"Aaron Wiggins","OKC","SG",78,200,23,0,1e+06,42,114,62,178,68,10,54
"Aleksej Pokusevski","OKC","PF",84,190,20,1,3113160,57,129,35,318,131,38,94
"Darius Bazley","OKC","PF",80,208,21,2,2513040,80,194,117,436,97,70,90
"Derrick Favors","OKC","C",81,265,30,11,9720900,2,92,16,184,25,12,9
"Gabriel Deck","OKC","PF",80,232,26,1,1690507,2,6,0,6,5,0,2
"Isaiah Roby","OKC","PF",80,230,23,2,1782621,44,122,78,217,71,34,43
"Jaylen Hoard","OKC","SF",80,216,22,2,191860,9,35,6,84,17,5,8
"Jeremiah Robinson-Earl","OKC","C",81,230,21,0,2e+06,58,76,40,274,49,15,39
"Josh Giddey","OKC","SF",80,210,19,0,5988000,56,225,56,421,345,20,171
"Kenrich Williams","OKC","SF",78,210,27,3,2e+06,41,105,30,220,108,10,46
"Luguentz Dort","OKC","SG",75,215,22,2,1782621,130,163,161,212,88,18,88
"Mamadi Diakite","OKC","PF",81,228,25,1,1040234,0,25,6,59,2,9,7
"Melvin Frazier","OKC","SG",77,215,25,2,0,1,12,5,13,1,0,3
"Mike Muscala","OKC","C",82,240,30,8,3500000,70,43,48,129,22,26,14
"Olivier Sarr","OKC","C",84,237,22,0,106352,13,45,24,93,19,15,22
"Paul Watson","OKC","SF",78,210,27,2,0,6,6,1,27,8,3,4
"Rob Edwards","OKC","SG",77,205,25,0,53176,1,0,0,3,0,0,1
"Scotty Hopson","OKC","SG",79,204,32,2,99380,0,2,0,1,1,0,2
"Shai Gilgeous-Alexander","OKC","PG",78,180,23,3,5495532,89,388,328,278,331,46,154
"ThÃ©o Maledon","OKC","PG",76,175,20,1,2e+06,44,75,79,131,111,11,65
"Tre Mann","OKC","PG",75,178,20,0,2901240,98,133,65,171,91,12,71
"Ty Jerome","OKC","SG",77,195,24,2,2412840,54,70,38,78,109,5,37
"Vit Krejci","OKC","SG",80,195,21,0,925258,32,36,19,101,57,8,29
"Zavier Simpson","OKC","PG",72,190,24,0,53176,1,18,5,21,30,4,10
"Alperen ÅengÃ¼n","HOU","C",81,235,19,0,3214680,29,220,165,393,185,68,145
"Bruno Fernando","HOU","C",81,240,23,2,1782621,0,29,11,40,3,8,9
"Christian Wood","HOU","C",82,214,26,5,13666667,131,309,207,686,155,65,126
"Daishen Nix","HOU","SG",77,224,19,0,612000,7,20,16,33,40,0,26
"David Nwaba","HOU","SF",77,219,29,5,4650000,15,70,48,151,35,20,21
"Dennis SchrÃ¶der","HOU","PG",75,172,28,8,5890000,19,36,34,50,88,3,39
"Eric Gordon","HOU","SG",75,215,33,13,18218818,124,144,105,113,154,18,107
"Garrison Mathews","HOU","SG",77,215,25,2,2e+06,139,45,143,190,64,24,41
"Jae'Sean Tate","HOU","PF",76,230,26,1,1517981,63,300,130,420,222,41,139
"Jalen Green","HOU","SG",76,178,19,0,8992200,157,249,188,226,176,18,135
"Josh Christopher","HOU","SG",77,215,20,0,2259240,56,168,83,186,150,13,114
"Trevelin Queen","HOU","SG",78,190,24,0,0,9,6,4,16,4,1,7
"Usman Garuba","HOU","PF",80,220,19,0,2353320,5,14,5,83,17,11,6
