"player","team","position","height","weight","age","experience","salary","points3","points2","points1","total_rebounds","assists","blocks","turnovers"
"Udonis Haslem","MIA","C",80,235,41,18,2641691,1,13,3,25,4,1,5
"Victor Oladipo","MIA","SG",76,213,29,8,2389641,15,20,14,23,28,1,16
"Aaron Nesmith","BOS","SF",77,215,22,1,3631200,31,41,21,89,22,5,31
"Al Horford","BOS","C",81,240,35,14,2.7e+07,89,177,80,530,232,92,65
"Brodric Thomas","BOS","SG",77,185,25,1,0,2,6,3,10,11,1,6
"C.J. Miles","BOS","SG",78,220,34,15,151821,0,0,0,0,0,0,0
"Daniel Theis","BOS","C",80,245,29,4,8280351,10,57,22,98,21,14,15
"Derrick White","BOS","SG",76,190,27,4,15178571,34,60,64,88,92,16,32
"Grant Williams","BOS","PF",78,236,23,2,2617800,106,99,86,274,78,57,62
"Jabari Parker","BOS","PF",80,245,26,7,1168288,8,10,9,28,6,1,8
"Jaylen Brown","BOS","SF",78,223,25,5,24830357,166,410,241,404,231,18,178
"Jayson Tatum","BOS","SF",80,210,23,4,28103550,230,478,400,609,334,49,217
"Joe Johnson","BOS","SG",79,240,40,17,151821,0,1,0,0,0,0,0
"Justin Jackson","BOS","SF",80,220,26,4,102831,0,0,2,0,0,0,0
"Juwan Morgan","BOS","PF",79,232,24,2,115116,0,0,0,0,0,0,0
"Kelan Martin","BOS","SF",77,230,26,2,191860,0,0,0,2,0,0,0
"Luke Kornet","BOS","C",86,250,26,4,606702,0,12,2,25,8,2,0
"Malik Fitts","BOS","PF",80,230,24,1,402218,3,3,0,7,5,0,0
"Marcus Smart","BOS","PG",75,220,27,7,13839285,119,181,142,270,417,18,159
"Matt Ryan","BOS","SF",79,215,24,0,0,1,0,0,0,0,0,0
"Payton Pritchard","BOS","PG",73,195,24,1,2137440,101,59,21,134,139,6,41
"Robert Williams","BOS","C",81,237,24,3,3661976,0,271,65,588,121,134,63
"Sam Hauser","BOS","SF",80,215,24,0,313737,19,4,0,29,10,2,2
"Bobby Portis","MIL","C",82,250,26,6,4347600,133,284,85,657,86,51,90
"Brook Lopez","MIL","C",84,282,33,13,13302325,19,42,20,53,6,15,12
"DeAndre' Bembry","MIL","SF",77,210,27,5,601867,0,3,0,11,6,0,1
"DeMarcus Cousins","MIL","C",82,270,31,10,607285,13,42,31,98,18,8,16
"George Hill","MIL","PG",76,188,35,13,4e+06,41,77,57,155,120,6,41
"Georgios Kalaitzakis","MIL","SF",80,192,23,0,462629,2,3,4,8,0,1,4
"Giannis Antetokounmpo","MIL","PF",84,242,27,8,39344970,71,618,553,778,388,91,219
"Grayson Allen","MIL","SG",76,198,26,3,4054695,159,96,64,222,100,18,43
"Greg Monroe","MIL","C",83,265,31,9,138019,0,11,5,21,2,2,3
"Javin DeLaurier","MIL","C",82,237,23,0,53176,0,0,0,1,0,0,0
"Jeff Dowtin","MIL","PG",75,185,24,0,53176,0,0,0,0,0,0,0
"Jevon Carter","MIL","PG",73,200,26,3,457149,24,16,8,43,50,4,8
"Jordan Nwora","MIL","SF",80,225,23,1,1517981,79,107,36,221,59,17,57
"Jrue Holiday","MIL","PG",75,205,31,12,30133333,132,346,137,301,457,29,183
"Justin Robinson","MIL","PG",73,195,24,2,0,10,8,2,13,21,0,11
"Khris Middleton","MIL","SF",79,222,30,9,35500000,162,290,259,356,358,18,190
"Langston Galloway","MIL","SG",73,200,30,7,128709,0,1,0,10,7,0,1
"Lindell Wigginton","MIL","PG",74,189,23,0,0,9,17,19,25,23,1,12
"Pat Connaughton","MIL","SF",77,209,29,6,5333333,146,81,45,273,82,15,35
"Rayjon Tucker","MIL","SG",75,209,24,2,28779,3,2,2,4,6,0,1
"Sandro Mamukelashvili","MIL","PF",83,240,22,0,0,22,35,18,82,22,9,15
"Serge Ibaka","MIL","C",82,235,32,12,9720900,13,41,12,100,13,7,10
"Thanasis Antetokounmpo","MIL","SF",78,219,29,3,1729217,2,68,29,101,22,12,26
"Wesley Matthews","MIL","SG",76,220,35,12,1958501,53,34,22,92,36,8,18
"Aaron Henry","PHI","SF",78,210,22,0,0,0,1,0,1,0,2,2
"Braxton Key","PHI","SF",80,230,24,0,53176,0,1,0,2,1,0,2
"Charles Bassey","PHI","C",83,235,21,0,925258,0,30,9,62,7,17,8
"Danny Green","PHI","SF",78,215,34,12,1e+07,103,23,11,157,64,37,45
"DeAndre Jordan","PHI","C",83,265,33,13,592103,0,32,10,92,8,9,16
"Furkan Korkmaz","PHI","SG",79,202,24,4,4629630,77,105,68,175,127,9,48
"Georges Niang","PHI","PF",79,230,28,5,3300000,156,90,52,203,102,13,59
"Isaiah Joe","PHI","SG",76,165,22,1,1517981,45,17,29,56,35,3,19
"Jaden Springer","PHI","SG",76,204,19,0,2023680,0,1,0,2,0,2,1
"James Harden","PHI","PG",77,220,32,12,44310840,46,69,166,149,220,5,72
"Joel Embiid","PHI","C",84,280,27,5,31579390,93,573,654,796,284,99,214
"Matisse Thybulle","PHI","SG",77,201,24,2,2840160,45,105,34,151,75,71,39
"Myles Powell","PHI","PG",74,195,24,0,0,1,4,2,6,3,0,3
"Paul Millsap","PHI","C",79,257,36,15,2641691,2,11,5,25,5,2,8
"Paul Reed","PHI","C",81,210,22,1,1517981,2,52,6,92,16,14,10
"Shake Milton","PHI","SG",77,205,25,3,1846738,43,130,61,142,139,17,44
"Tobias Harris","PHI","PF",80,226,29,10,35995950,101,392,170,496,252,43,116
"Tyler Johnson","PHI","PG",75,186,29,7,128709,3,1,0,6,2,1,1
"Tyrese Maxey","PHI","PG",74,200,21,1,2602920,132,351,213,240,321,32,88
"Willie Cauley-Stein","PHI","C",84,240,28,6,120083,0,0,0,2,1,0,0
"Armoni Brooks","TOR","PG",75,195,23,1,421156,10,1,2,22,13,3,4
"Chris Boucher","TOR","SF",81,200,29,4,7020000,68,200,150,494,25,75,42
"D.J. Wilson","TOR","PF",82,231,25,4,308493,0,11,8,16,5,1,2
"Dalano Banton","TOR","PG",81,204,22,0,925258,13,70,26,124,99,10,53
"Daniel Oturu","TOR","C",80,240,22,1,85578,0,3,3,5,0,2,0
"David Johnson","TOR","SG",77,210,20,0,0,0,0,0,0,0,0,0
"Fred VanVleet","TOR","PG",73,197,27,5,19675926,242,200,194,289,434,35,170
"Isaac Bonga","TOR","SF",80,180,22,3,1729217,1,2,5,7,4,2,2
"Justin Champagnie","TOR","SF",78,200,20,0,0,10,21,9,72,11,4,8
"Khem Birch","TOR","C",81,233,29,4,6350000,0,97,53,239,56,26,29
"Malachi Flynn","TOR","PG",73,175,23,1,2048040,30,42,15,63,70,4,13
"OG Anunoby","TOR","SF",79,232,24,4,16071429,115,194,89,264,125,25,80
"Pascal Siakam","TOR","PF",81,230,27,5,33003936,75,521,284,580,360,42,181
"Precious Achiuwa","TOR","C",80,225,22,1,2711280,56,209,78,473,82,41,84
"Sam Dekker","TOR","PF",81,230,27,4,350000,0,0,0,0,0,0,0
"Scottie Barnes","TOR","PF",81,227,20,0,7280400,58,401,158,557,256,55,136
"Svi Mykhailiuk","TOR","SF",79,205,24,3,1729217,41,50,32,92,45,4,32
"Thaddeus Young","TOR","PF",80,235,33,14,14190000,17,50,13,115,45,11,22
"Tremont Waters","TOR","PG",70,175,24,2,95930,2,1,0,4,7,0,4
"Yuta Watanabe","TOR","SF",81,215,27,3,1762796,27,29,24,92,21,16,19
"Alex Caruso","CHI","SG",76,186,27,4,8604651,42,60,58,148,165,15,57
"Alfonzo McKinnie","CHI","SF",79,215,29,4,1293926,9,15,2,33,5,3,7
"Alize Johnson","CHI","PF",79,212,25,3,705598,0,12,4,36,8,0,8
"Ayo Dosunmu","CHI","SG",77,200,22,0,925258,70,208,53,214,256,29,108
"Coby White","CHI","PG",77,195,21,2,5837760,136,143,78,182,176,11,70
"DeMar DeRozan","CHI","PF",78,220,32,12,2.6e+07,50,724,520,392,374,24,181
"Devon Dotson","CHI","PG",74,185,22,1,0,2,9,5,9,15,0,5
"Javonte Green","CHI","SF",76,205,28,2,1669178,36,140,80,276,60,32,30
"Jordan Bell","CHI","C",80,216,27,4,102831,0,0,0,1,0,0,0
"Lonzo Ball","CHI","PG",78,190,24,4,18604651,110,52,21,190,178,31,82
"Mac McClung","CHI","PG",74,185,23,0,106352,0,1,0,0,0,0,1
"Malcolm Hill","CHI","SF",78,220,26,0,53176,10,9,7,29,7,2,3
"Marko Simonovic","CHI","C",83,216,22,0,925258,1,3,8,10,0,1,2
"Matt Thomas","CHI","SG",76,190,27,2,1669178,35,20,16,50,20,3,8
"Nikola VuÄeviÄ","CHI","C",82,260,31,10,2.4e+07,104,442,92,804,236,71,136
"Patrick Williams","CHI","PF",79,215,20,1,7422000,15,39,30,69,15,9,16
"Tony Bradley","CHI","C",82,248,24,4,1789256,0,72,19,186,27,33,34
"Tristan Thompson","CHI","PF",81,254,30,10,1e+06,0,52,26,109,14,7,12
"Tyler Cook","CHI","PF",80,255,24,2,0,0,23,21,53,3,4,7
"Zach LaVine","CHI","SG",77,200,26,7,19500000,185,380,320,308,303,23,171
"Andre Drummond","BRK","C",82,279,28,9,2401537,0,119,44,247,34,23,36
"Blake Griffin","BRK","C",81,250,32,11,2641691,38,95,55,228,105,14,31
"Bruce Brown","BRK","SF",76,202,25,3,4736102,38,218,97,345,148,52,56
"Cam Thomas","BRK","SG",76,210,20,0,2036280,47,171,87,161,78,8,55
"Day'Ron Sharpe","BRK","PF",83,265,20,0,2009040,2,84,24,160,17,15,30
"Goran DragiÄ","BRK","PG",75,190,35,13,728742,12,32,17,51,77,3,33
"James Johnson","BRK","PF",79,240,34,12,2641691,23,121,29,215,130,34,48
"Joe Harris","BRK","SF",78,220,30,7,17357143,41,15,5,56,14,2,16
"Kessler Edwards","BRK","SF",80,215,21,0,5318,48,62,16,172,31,24,42
"Kevin Durant","BRK","PF",82,240,33,13,40918900,115,463,372,407,351,52,191
"Kyrie Irving","BRK","PG",74,195,29,10,34916200,100,189,118,127,167,17,73
"LaMarcus Aldridge","BRK","C",83,250,36,15,2641691,14,238,89,258,42,47,44
"Nic Claxton","BRK","C",83,215,22,2,1782621,0,178,54,264,43,51,38
"Patty Mills","BRK","SG",73,180,33,12,5890000,227,97,48,156,183,17,73
"Seth Curry","BRK","SG",74,185,31,7,8207518,58,46,18,49,49,3,25
"Shaquille Harrison","BRK","SG",76,190,28,4,205662,0,2,0,4,3,1,2
"Wenyen Gabriel","BRK","PF",81,205,24,2,99380,0,0,0,1,0,0,0
"Brandon Goodwin","CLE","PG",72,180,26,3,99380,19,45,24,67,91,1,36
"Caris LeVert","CLE","SG",78,205,27,5,17500000,21,80,35,64,75,5,33
"Cedi Osman","CLE","SF",79,230,26,4,8133334,128,119,87,146,135,10,67
"Collin Sexton","CLE","SG",73,190,23,3,6349671,11,57,29,36,23,0,31
"Darius Garland","CLE","PG",73,192,22,2,7040880,174,368,215,224,583,7,248
"Dean Wade","CLE","PF",81,228,25,2,1782621,51,48,20,150,52,7,16
"Dylan Windler","CLE","SF",78,196,25,1,2239200,21,16,15,89,34,3,16
"Ed Davis","CLE","C",81,218,32,11,2641691,0,11,6,64,7,9,5
"Evan Mobley","CLE","PF",84,215,20,0,8075160,23,399,167,570,174,115,133
"Isaac Okoro","CLE","SF",77,225,21,1,6720720,55,152,119,201,121,22,58
"Jarrett Allen","CLE","C",83,243,23,4,2e+07,1,368,165,602,92,75,94
"Justin Anderson","CLE","SF",78,230,28,5,111457,2,2,3,6,6,0,2
"Kevin Love","CLE","C",80,251,33,13,31258256,187,140,166,536,160,18,98
"Kevin Pangos","CLE","PG",74,179,29,0,1669178,6,9,3,11,30,0,7
"Lamar Stevens","CLE","PF",78,230,24,1,1517981,18,138,53,164,44,18,41
"Lauri Markkanen","CLE","SF",84,240,24,4,15690909,136,177,138,345,81,30,54
"Malik Newman","CLE","PG",75,190,24,1,85578,0,3,2,1,1,0,1
"Moses Brown","CLE","C",86,245,22,2,211046,0,37,16,74,0,7,6
"Rajon Rondo","CLE","PG",73,180,35,15,2641691,23,22,18,59,103,1,34
"Tacko Fall","CLE","C",90,311,26,2,0,0,5,2,23,2,6,3
"Tim Frazier","CLE","PG",72,170,31,7,128709,0,1,0,0,1,0,2
"Tre Scott","CLE","SF",80,225,25,0,53176,0,3,0,2,0,1,0
"Bogdan BogdanoviÄ","ATL","SG",78,220,29,4,1.8e+07,169,173,97,250,194,14,70
"Cameron Oliver","ATL","SF",80,239,25,1,85578,1,9,2,6,3,1,0
"Cat Barber","ATL","PG",74,190,27,0,53176,0,0,0,3,3,0,1
"Clint Capela","ATL","C",82,240,27,7,17103448,0,370,80,877,92,93,44
"Danilo Gallinari","ATL","PF",82,233,33,12,20475000,112,147,141,308,101,12,38
"De'Andre Hunter","ATL","SF",80,225,24,2,7775400,74,180,127,176,68,21,69
"Delon Wright","ATL","SG",77,185,29,6,8526316,44,78,54,220,188,19,45
"Gorgui Dieng","ATL","C",82,252,32,8,4e+06,29,24,19,121,34,13,20
"Jalen Johnson","ATL","PF",81,220,20,0,2659560,3,19,5,26,3,2,9
"John Collins","ATL","PF",81,235,24,4,2.3e+07,64,275,134,422,98,56,60
"Kevin Huerter","ATL","SF",79,190,23,3,4253357,160,185,42,254,203,26,91
"Kevin Knox","ATL","SF",79,215,22,3,5845978,5,11,9,22,7,1,2
"Lance Stephenson","ATL","SG",78,230,31,9,138019,0,5,1,15,11,0,4
"Lou Williams","ATL","PG",73,175,35,16,5e+06,37,88,67,87,105,3,43
"Onyeka Okongwu","ATL","C",80,235,21,1,6104280,0,156,80,283,53,60,44
"Sharife Cooper","ATL","PG",73,180,20,0,0,1,2,0,5,5,0,5
"Skylar Mays","ATL","SG",76,205,24,1,34231,8,24,8,25,17,0,10
"TimothÃ© Luwawu-Cabarrot","ATL","SF",79,220,26,5,1939350,44,30,35,82,40,6,20
"Trae Young","ATL","PG",73,164,23,3,8326471,233,478,500,284,737,7,303
"Wes Iwundu","ATL","SF",78,195,27,4,102831,3,5,3,13,0,0,1
"Arnoldas Kulboka","CHO","SF",81,198,24,0,0,0,0,0,0,0,0,0
"Cody Martin","CHO","SF",77,205,26,2,1782621,61,143,75,285,179,32,61
"Gordon Hayward","CHO","SF",79,225,31,11,29925000,86,197,126,224,177,22,81
"Isaiah Thomas","CHO","PG",69,185,32,10,552077,23,29,14,21,24,3,10
"Jalen McDaniels","CHO","SF",81,205,24,2,1782621,41,82,53,170,58,22,36
"James Bouknight","CHO","SG",77,190,21,0,4154400,17,32,27,52,26,1,15
"JT Thor","CHO","PF",82,205,19,0,1250000,7,17,12,43,19,11,10
"Kai Jones","CHO","C",83,218,21,0,2770560,1,8,3,11,4,2,6
"LaMelo Ball","CHO","PG",79,180,20,1,8231760,220,318,212,501,571,30,245
"Mason Plumlee","CHO","C",83,254,31,8,8137500,0,205,67,565,226,52,100
"Miles Bridges","CHO","PF",78,225,23,3,5421493,154,442,267,559,300,67,150
"Montrezl Harrell","CHO","C",79,240,28,6,9720900,0,111,63,122,49,12,22
"Nick Richards","CHO","C",84,245,24,1,1517981,0,60,30,86,13,21,24
"P.J. Washington","CHO","C",79,230,23,2,4215120,110,140,58,337,147,61,82
"Scottie Lewis","CHO","SG",77,189,21,0,0,0,0,1,0,1,0,0
"Terry Rozier","CHO","SG",73,190,27,6,17905263,222,296,150,315,326,25,96
"Alec Burks","NYK","SG",78,214,30,10,9536000,157,128,217,397,239,26,91
"Cam Reddish","NYK","SF",80,218,22,2,4670160,8,19,29,21,10,4,13
"Damyean Dotson","NYK","SG",77,210,27,4,205662,0,2,0,2,1,0,0
"Derrick Rose","NYK","PG",75,200,33,12,13445120,37,85,30,78,103,12,39
"Evan Fournier","NYK","SG",79,205,29,9,17142857,241,161,80,210,171,20,105
"Feron Hunt","NYK","SF",80,195,22,0,0,0,0,0,1,1,0,1
"Immanuel Quickley","NYK","PG",75,190,22,1,2210640,137,147,177,247,275,3,99
"Jericho Sims","NYK","PF",82,245,23,0,0,0,39,12,169,21,22,20
"Julius Randle","NYK","PF",80,250,27,7,19800000,120,392,303,716,370,39,245
"Kemba Walker","NYK","PG",72,184,31,10,8729020,73,76,60,111,131,7,48
"Matt Mooney","NYK","SG",75,199,24,1,171156,0,0,0,0,0,0,1
"Miles McBride","NYK","PG",74,200,21,0,925258,17,15,8,42,41,1,5
"Mitchell Robinson","NYK","C",84,240,23,3,1802057,0,261,88,617,38,133,60
"Nerlens Noel","NYK","C",83,220,27,7,8800000,0,32,21,141,23,31,20
"Obi Toppin","NYK","PF",81,220,23,1,5105160,52,199,94,268,77,33,56
"Quentin Grimes","NYK","SG",77,205,21,0,2168760,72,23,13,94,44,11,28
"RJ Barrett","NYK","SF",78,214,21,2,8623920,138,349,290,408,208,16,151
"Ryan Arcidiacono","NYK","PG",75,195,27,4,791798,4,2,0,8,4,0,3
"Taj Gibson","NYK","C",81,232,36,12,4910000,15,71,42,229,32,40,27
"Tyler Hall","NYK","SG",77,209,24,0,53176,0,0,0,0,0,0,0
"Wayne Selden","NYK","SG",77,230,27,3,785102,1,0,2,1,1,0,0
"Anthony Gill","WAS","PF",79,230,29,1,1517981,14,48,42,85,27,11,18
"Brad Wanamaker","WAS","PG",75,210,32,3,99380,0,2,3,4,7,0,0
"Bradley Beal","WAS","SG",76,207,28,9,33724200,63,285,169,189,265,15,135
"Cassius Winston","WAS","PG",73,185,23,1,0,2,2,4,1,7,0,3
"Corey Kispert","WAS","SF",79,220,22,0,3383640,112,122,54,209,85,22,50
"Craig Sword","WAS","SG",75,196,28,0,53176,0,3,0,0,1,0,1
"Daniel Gafford","WAS","C",82,234,23,2,1782621,0,285,107,407,68,99,65
"Deni Avdija","WAS","SF",81,210,21,1,4692840,82,168,103,425,167,44,87
"Isaiah Todd","WAS","PF",82,220,20,0,1500000,4,3,2,12,4,2,4
"Ish Smith","WAS","PG",72,175,33,11,4500000,15,97,3,83,146,13,42
"Jaime Echenique","WAS","C",83,258,24,0,53176,0,0,0,0,0,0,0
"Joel Ayayi","WAS","SG",77,180,21,0,0,0,1,0,3,4,0,0
"Jordan Goodwin","WAS","SG",75,200,23,0,53176,0,0,0,1,0,0,0
"Jordan Schakel","WAS","SG",78,200,23,0,53176,1,0,2,8,0,0,1
"Kentavious Caldwell-Pope","WAS","SG",77,204,28,8,13038862,159,202,137,261,145,26,97
"Kristaps PorziÅÄ£is","WAS","PF",87,240,26,5,31650600,29,94,101,150,50,25,28
"Kyle Kuzma","WAS","PF",81,221,26,4,1.3e+07,128,295,156,561,233,57,169
"Raul Neto","WAS","PG",73,180,29,6,2089448,35,169,83,134,217,3,79
"Rui Hachimura","WAS","PF",80,230,23,2,4916160,55,132,46,160,48,9,33
"Thomas Bryant","WAS","C",82,248,24,4,8666667,12,65,35,108,23,21,19
"TomÃ¡Å¡ SatoranskÃ½","WAS","PG",79,210,30,5,468119,6,34,21,61,108,4,23
"Ahmad Caver","IND","SG",74,175,25,0,53176,0,1,0,0,0,0,0
"Buddy Hield","IND","SG",76,220,29,5,22477273,80,101,31,132,124,10,63
"Chris Duarte","IND","SG",78,190,24,0,3749520,94,174,90,226,114,10,90
"DeJon Jarreau","IND","SG",77,185,24,0,0,0,0,0,0,0,0,0
"Gabe York","IND","SG",75,185,28,0,0,1,1,3,2,4,1,1
"Goga Bitadze","IND","C",83,250,22,2,3098400,23,108,64,177,55,42,46
"Isaiah Jackson","IND","C",82,206,20,0,2451120,5,111,60,149,10,52,40
"Jalen Smith","IND","PF",82,215,21,1,4458000,31,82,38,168,18,23,20
"Keifer Sykes","IND","PG",72,180,28,0,558345,27,42,15,45,62,4,33
"Malcolm Brogdon","IND","PG",77,229,29,5,21700000,58,185,143,185,212,14,77
"Myles Turner","IND","C",83,250,25,6,17500000,61,139,79,297,44,118,54
"Nate Hinton","IND","SG",77,210,22,1,85578,0,0,0,0,0,0,1
"Oshae Brissett","IND","SF",79,210,23,2,1701593,83,125,114,358,72,29,54
"Reggie Perry","IND","PF",80,250,21,1,85578,0,1,0,1,0,0,0
"T.J. McConnell","IND","PG",73,190,29,6,7500000,10,90,19,90,131,10,29
"Terry Taylor","IND","PF",77,230,22,0,6e+05,12,123,36,172,41,8,23
"Tyrese Haliburton","IND","PG",77,185,21,1,4023600,57,105,73,112,249,15,84
"Cade Cunningham","DET","SG",78,220,20,0,10050120,114,315,142,354,356,43,234
"Carsen Edwards","DET","SG",71,200,23,2,76744,4,5,1,6,14,0,5
"Cassius Stanley","DET","SG",77,190,22,1,256734,4,15,10,19,4,2,6
"Cheick Diallo","DET","C",80,219,25,4,102831,0,3,5,12,0,0,1
"Cory Joseph","DET","PG",75,200,30,10,7310000,65,113,100,174,237,17,85
"Deividas Sirvydis","DET","SG",80,190,21,1,1603559,1,0,0,6,1,1,0
"Derrick Walton","DET","PG",72,189,26,2,95930,3,3,4,10,21,4,11
"Frank Jackson","DET","PG",75,205,23,3,3e+06,86,108,86,87,55,9,38
"Hamidou Diallo","DET","SG",77,202,23,3,5200000,23,238,91,277,73,17,58
"Isaiah Livers","DET","SF",79,230,23,0,1057260,27,14,12,57,21,7,15
"Isaiah Stewart","DET","C",80,250,20,1,3277080,15,235,74,617,82,78,85
"Jamorko Pickett","DET","PF",81,206,24,0,0,13,5,1,32,7,7,5
